survived,sex,age,sibsp,parch,fare,pclass_1,pclass_2,pclass_3,embarked_C,embarked_Q,embarked_S
1,1,1.3494225311767907,0,0,-0.1074049376158602,1,0,0,1,0,0
0,0,-0.0019787588153828035,0,0,-0.14067394486072518,1,0,0,0,0,1
0,0,2.4874446701175685,0,0,-0.13004054528804052,1,0,0,0,0,1
1,0,-0.5709898282857716,0,0,-0.49350947613617013,0,0,1,0,1,0
1,1,-0.42873706091817443,0,2,-0.32047506490793826,0,0,1,0,0,1
0,0,0.2825267759198116,0,0,-0.49350947613617013,0,0,1,0,1,0
0,0,-0.2864842935505772,0,0,-0.4930261397919572,0,0,1,0,0,1
1,1,0.7092850780226032,0,0,-0.39200884385145307,0,1,0,0,0,1
1,0,0.4247795432874088,1,2,1.6766707093799227,1,0,0,0,0,1
1,1,0.6381586943388046,0,0,1.462069372549378,1,0,0,1,0,0
1,1,-0.8199321711790667,0,0,-0.49350947613617013,0,0,1,0,1,0
0,0,-0.2153579098667786,0,2,3.4456817291992765,1,0,0,1,0,0
1,1,0.8515378453902004,1,0,-0.14067394486072518,0,1,0,0,0,1
0,0,-0.25092110170867793,0,0,-0.5036595393646418,0,0,1,1,0,0
1,0,0.9937906127577976,0,0,-0.4901261217266795,0,0,1,0,0,1
0,0,-0.2864842935505772,0,0,-0.39200884385145307,0,1,0,0,0,1
0,0,-0.7843689793371674,0,0,-0.4856156269624844,0,0,1,0,0,1
1,1,1.0649169964415963,0,0,-0.4938323448141044,0,0,1,0,1,0
1,0,0.567032310655006,1,0,1.0966670963243967,1,0,0,0,0,1
1,0,-0.2153579098667786,0,0,0.8400966980531545,1,0,0,1,0,0
0,0,-0.855495363020966,1,0,-0.3638941353812749,0,0,1,1,0,0
0,0,-0.9977481303885632,2,0,-0.29534157500886543,0,0,1,0,0,1
0,0,-0.6421162119695702,0,0,-0.5036595393646418,0,0,1,1,0,0
0,0,-0.7843689793371674,0,0,-0.4403424782727469,0,1,0,0,0,1
0,0,-0.7132425956533688,0,0,-0.47586769957239783,0,0,1,0,0,1
1,0,0.6381586943388046,0,0,-0.14566777596913322,1,0,0,1,0,0
0,0,-0.0731051424991814,0,0,-0.4403424782727469,0,1,0,0,0,1
0,0,-0.8199321711790667,0,0,-0.49350947613617013,0,0,1,0,1,0
1,1,1.3494225311767907,1,0,1.079348188438559,1,0,0,1,0,0
0,1,-0.2864842935505772,1,1,-0.14067394486072518,0,1,0,0,0,1
0,0,-0.42873706091817443,0,0,-0.45967593204126445,0,0,1,0,0,1
1,0,0.2825267759198116,1,1,-0.3485897733781164,0,0,1,1,0,0
0,1,-0.42873706091817443,0,0,-0.39200884385145307,0,1,0,0,0,1
0,1,-0.7132425956533688,0,0,-0.47586769957239783,0,0,1,0,0,1
0,0,-0.2153579098667786,1,2,-0.1899742519704449,0,0,1,0,0,1
0,0,-0.5709898282857716,0,0,-0.48770944000561484,0,0,1,0,0,1
0,0,-0.7843689793371674,0,0,-0.44670705125334287,0,0,1,0,0,1
