survived,sex,age,sibsp,parch,fare,pclass_1,pclass_2,pclass_3,embarked_C,embarked_Q,embarked_S
0,0,-0.64211621197,0,0,-0.490690658577,0,0,1,0,0,1
0,0,0.140274008552,0,0,-0.493509476136,0,0,1,0,1,0
1,1,-0.428737060918,3,2,4.44135459828,1,0,0,0,0,1
0,0,0.175837200394,0,0,3.4456817292,1,0,0,1,0,0
1,1,-1.56675919986,1,1,-0.140673944861,0,1,0,0,0,1
0,0,-1.78013835091,4,2,-0.0365149626828,0,0,1,0,0,1
1,1,-0.499863444602,0,0,-0.493509476136,0,0,1,0,1,0
0,1,-0.499863444602,0,0,-0.490126121727,0,0,1,0,0,1
0,0,0.140274008552,0,0,-0.49737616689,0,0,1,0,0,1
0,0,-2.06464388565,4,1,0.123952703596,0,0,1,0,0,1
0,0,1.98955998433,0,0,-0.0691401659172,1,0,0,1,0,0
0,0,-2.08242548157,1,1,-0.377025417181,0,0,1,0,0,1
0,0,1.91843360065,1,1,2.54409897958,1,0,0,0,0,1
1,0,-1.70901196723,0,2,1.95700578902,1,0,0,1,0,0
1,1,-0.570989828286,0,0,-0.470067663442,0,0,1,0,0,1
0,0,-0.428737060918,0,0,-0.50317620302,0,0,1,0,0,1
0,0,2.41631828643,1,0,0.811498653239,1,0,0,1,0,0
0,0,-0.855495363021,1,0,-0.517757493853,0,0,1,0,0,1
1,0,-0.286484293551,1,1,-0.0826735835552,0,1,0,0,0,1
0,0,1.34942253118,0,0,0.176394696943,1,0,0,0,0,1
1,1,-0.926621746705,1,0,0.458663121963,1,0,0,0,0,1
0,0,-0.357610677234,0,0,-0.510749116862,0,0,1,0,1,0
0,0,-0.357610677234,0,0,-0.363008663199,0,0,1,0,0,1
1,0,-0.428737060918,0,0,-0.140673944861,1,0,0,0,0,1
0,0,0.638158694339,0,0,-0.392008843851,0,1,0,0,0,1
1,1,-0.0731051424992,0,2,-0.348589773378,0,0,1,1,0,0
0,1,-0.855495363021,0,1,-0.363894135381,0,0,1,1,0,0
0,0,0.28252677592,1,0,-0.237341213703,0,1,0,0,0,1
0,0,-0.855495363021,1,0,1.46206937255,1,0,0,1,0,0
0,0,-0.357610677234,0,0,-0.495442821513,0,0,1,0,0,1
1,1,-0.00197875881538,0,0,-0.404575588801,0,1,0,0,1,0
1,1,-0.64211621197,2,2,4.42927118967,1,0,0,1,0,0
0,0,-0.428737060918,0,0,-0.503578338859,0,0,1,1,0,0
0,0,0.353653159604,0,0,-0.363008663199,0,0,1,0,0,1
1,0,0.0691476248684,0,0,0.0429938659402,1,0,0,0,0,1
1,0,0.744848269865,0,0,-0.507042893774,0,0,1,0,0,1
0,0,1.06491699644,0,0,0.323328945584,1,0,0,0,0,1
0,1,-1.10443770591,8,2,0.701297966758,0,0,1,0,0,1
0,0,0.85153784539,0,0,-0.392008843851,0,1,0,0,0,1
1,0,-0.0731051424992,0,0,-0.490690658577,0,0,1,1,0,0
0,0,0.709285078023,0,0,-0.334008482546,0,1,0,0,0,1
1,0,0.424779543287,0,1,9.26174915962,1,0,0,1,0,0
